,support,itemsets
0,0.2564102564102564,"frozenset({'asian (-0.049,0]'})"
1,0.5256410256410257,"frozenset({'black (-0.097,24]'})"
2,0.46153846153846156,"frozenset({'black (24,97.1]'})"
3,0.21794871794871795,"frozenset({'hispanic (0.915,4]'})"
4,0.20512820512820512,"frozenset({'hispanic (53.8,86.1]'})"
5,0.6282051282051282,frozenset({'hospital 0'})
6,0.2564102564102564,frozenset({'hospital 1'})
7,0.3333333333333333,frozenset({'other 1'})
8,0.3076923076923077,frozenset({'other 2'})
9,0.23076923076923078,"frozenset({'school (2.14,3]'})"
10,0.21794871794871795,"frozenset({'white (-0.084,5]'})"
11,0.20512820512820512,"frozenset({'white (5,13]'})"
12,0.20512820512820512,"frozenset({'white (50.8,84.1]'})"
13,0.23076923076923078,"frozenset({'asian (-0.049,0]', 'black (24,97.1]'})"
14,0.34615384615384615,"frozenset({'hospital 0', 'black (-0.097,24]'})"
15,0.20512820512820512,"frozenset({'black (24,97.1]', 'hispanic (0.915,4]'})"
16,0.28205128205128205,"frozenset({'hospital 0', 'black (24,97.1]'})"
17,0.20512820512820512,"frozenset({'white (-0.084,5]', 'black (24,97.1]'})"
18,0.21794871794871795,"frozenset({'hospital 0', 'other 1'})"
