"","communityAreaNum","numHospitals","teenMomRate","infantMortalityRate"
"1",1,0,51.6181818181818,6.4
"2",2,0,31.5272727272727,5.1
"3",3,4,51.0272727272727,6.5
"4",4,3,37.9818181818182,3.8
"5",5,0,37.0727272727273,2.7
"6",6,2,21.3909090909091,2.2
"7",7,1,9.29090909090909,2.4
"8",8,2,48.6636363636364,6.5
"9",9,0,7.55909090909091,4.6
"10",10,1,8.72727272727273,4.4
"11",11,0,20.1272727272727,8.3
"12",12,0,9.06363636363636,3.8
"13",13,0,16.4636363636364,5.4
"14",14,0,60.3727272727273,4.9
"15",15,1,36.9545454545455,4.7
"16",16,1,52.9818181818182,5.3
"17",17,1,22.0636363636364,4.9
"18",18,1,45.7727272727273,4.6
"19",19,0,76.6727272727273,5.6
"20",20,0,80.7909090909091,9.3
"21",21,0,69.8454545454545,5.7
"22",22,0,76.8545454545455,4.3
"23",23,2,100.409090909091,9.8
"24",24,3,65.0090909090909,5.1
"25",25,1,90.2363636363636,13.3
"26",26,0,113.454545454545,19
"27",27,1,104.609090909091,11
"28",28,4,47.4,9.1
"29",29,2,107.354545454545,14.1
"30",30,1,91.5727272727273,5.9
"31",31,0,81.4454545454545,5.4
"32",32,0,2.25454545454545,5.7
"33",33,1,83.6909090909091,4.8
"34",34,0,20.8636363636364,1.5
"35",35,0,59.2363636363636,13.4
"36",36,0,73.4,8.2
"37",37,0,97.8363636363636,22.6
"38",38,1,82.2272727272727,12.1
"39",39,0,51.0454545454545,8.9
"40",40,0,107.990909090909,19.3
"41",41,1,13.3727272727273,10.4
"42",42,1,75.8272727272727,11.5
"43",43,1,77.9272727272727,11.4
"44",44,0,71.5272727272727,10.9
"45",45,0,60.1545454545455,11.4
"46",46,1,84.0727272727273,17.7
"47",47,0,95.7181818181818,13
"48",48,1,49.4454545454545,13.9
"49",49,1,81.2454545454545,9.6
"50",50,0,77.7363636363636,13.6
"51",51,0,61.3545454545455,11.8
"52",52,0,62.0545454545455,3.7
"53",53,0,90.1090909090909,11.9
"54",54,0,76.3272727272727,8.7
"55",55,0,35.9454545454545,8.4
"56",56,0,45.0090909090909,4.5
"57",57,0,63.5727272727273,5.2
"58",58,0,83.3636363636364,5.9
"59",59,0,59.9,7.3
"60",60,0,41.8636363636364,8
"61",61,0,102.172727272727,7.9
"62",62,0,53.4636363636364,8.1
"63",63,0,81.8454545454545,5.4
"64",64,0,35.8545454545455,6.7
"65",65,0,54.1454545454545,8.4
"66",66,1,88.9727272727273,11.1
"67",67,0,116.881818181818,13.3
"68",68,1,119.290909090909,13.4
"69",69,0,93.1090909090909,14.2
"70",70,0,46.3181818181818,10.2
"71",71,0,81.9727272727273,15.6
"72",72,0,13.6363636363636,10
"73",73,0,67.3363636363636,11.2
"74",74,0,9.15454545454545,3.3
"75",75,0,48.7454545454545,13.1
"76",76,0,23.1,2
"77",77,1,27.9363636363636,6.9
