"","Community","communityAreaNumber","totalParkArea"
"1","DOUGLAS",35,496412.159143182
"2","OAKLAND",36,503726.200819005
"3","FULLER PARK",37,47999.9047781503
"4","GRAND BOULEVARD",38,135529.989311756
"5","KENWOOD",39,442510.936143177
"6","LINCOLN SQUARE",4,419080.844695478
"7","WASHINGTON PARK",40,1310501.13577757
"8","HYDE PARK",41,1097024.97179354
"9","WOODLAWN",42,1481559.36377226
"10","ROGERS PARK",1,287364.926176417
"11","JEFFERSON PARK",11,72886.5708793751
"12","FOREST GLEN",12,143108.330272539
"13","NORTH PARK",13,642728.200323499
"14","ALBANY PARK",14,112336.17981744
"15","PORTAGE PARK",15,290484.638090536
"16","IRVING PARK",16,407516.812966415
"17","DUNNING",17,198450.459154204
"18","MONTCLARE",18,42354.7460618723
"19","BELMONT CRAGIN",19,271774.992542651
"20","WEST RIDGE",2,725446.172582809
"21","HERMOSA",20,70169.0774030578
"22","AVONDALE",21,35476.1616811791
"23","LOGAN SQUARE",22,178953.499164694
"24","HUMBOLDT PARK",23,86396.6140617272
"25","WEST TOWN",24,875460.649457551
"26","AUSTIN",25,806921.596893371
"27","WEST GARFIELD PARK",26,14077.3895814787
"28","EAST GARFIELD PARK",27,671638.868409559
"29","NEAR WEST SIDE",28,256743.332911394
"30","NORTH LAWNDALE",29,662460.924420973
"31","UPTOWN",3,1437615.59300987
"32","SOUTH LAWNDALE",30,195375.371773764
"33","LOWER WEST SIDE",31,159045.279270975
"34","NEAR SOUTH SIDE",33,1351729.66234851
"35","ARMOUR SQUARE",34,78427.7315648107
"36","NORWOOD PARK",10,193963.383695986
"37","NEAR NORTH SIDE",8,258310.750237167
"38","LOOP",32,997294.258590292
"39","SOUTH SHORE",43,639765.777286504
"40","CHATHAM",44,190780.486212811
"41","AVALON PARK",45,113935.168330956
"42","SOUTH CHICAGO",46,592178.724282208
"43","BURNSIDE",47,34073.754531949
"44","MCKINLEY PARK",59,301497.440007748
"45","LAKE VIEW",6,783048.638270112
"46","CALUMET HEIGHTS",48,87149.4613640091
"47","ROSELAND",49,326420.761242938
"48","NORTH CENTER",5,161026.14620738
"49","PULLMAN",50,129602.520697771
"50","SOUTH DEERING",51,2279794.4933949
"51","EAST SIDE",52,750425.969527159
"52","WEST PULLMAN",53,207308.665883282
"53","RIVERDALE",54,100372.666180541
"54","HEGEWISCH",55,1186290.32307398
"55","GARFIELD RIDGE",56,196604.283546194
"56","ARCHER HEIGHTS",57,94600.6237719171
"57","BRIGHTON PARK",58,32436.1909458735
"58","BRIDGEPORT",60,193356.903807562
"59","NEW CITY",61,340855.466065712
"60","WEST ELSDON",62,64968.8547631222
"61","GAGE PARK",63,184593.387106602
"62","CLEARING",64,146087.908033185
"63","WEST LAWN",65,138706.497400668
"64","CHICAGO LAWN",66,1207023.88486201
"65","WEST ENGLEWOOD",67,333933.702232429
"66","ENGLEWOOD",68,191768.213125628
"67","GREATER GRAND CROSSING",69,156638.380581942
"68","LINCOLN PARK",7,1544175.36947406
"69","ASHBURN",70,247212.939568956
"70","AUBURN GRESHAM",71,268587.728768132
"71","BEVERLY",72,170828.607360456
"72","WASHINGTON HEIGHTS",73,243091.732900835
"73","MOUNT GREENWOOD",74,216890.444936845
"74","MORGAN PARK",75,293169.377028647
"75","O'HARE",76,7229.63504589521
"76","EDGEWATER",77,338062.410650073
"77","EDISON PARK",9,84857.8832320172
